,precision,recall,f1-score,support
0,0.9615384615384616,0.9789156626506024,0.9701492537313433,332.0
1,0.8846153846153846,0.7796610169491526,0.8288288288288288,59.0
2,0.8888888888888888,0.9142857142857143,0.9014084507042254,35.0
accuracy,0.9460093896713615,0.9460093896713615,0.9460093896713615,0.9460093896713615
macro avg,0.9116809116809117,0.8909541312951563,0.9001288444214658,426.0
weighted avg,0.9449159343525539,0.9460093896713615,0.9449289880618656,426.0
